'cello|виолончель|'tSelqu
deformed|искаженный|
deliberate|умышленный, обдуманный|dI'lIbqreIt
deliberately|умышленно, обдуманно|dI'lIbqrItlI
delicate|утонченный, хрупкий|'delIkIt
delight|восторг, восхищаться, наслаждаться|dI'laIt
delinquent|правонарушитель|dI'lINkwqnt
delta|дельта|'deltq
democratically|демократически|,demq'krxtIk(q)lI
demolish|уничтожать, опровергать|dI'mOlIS
demolition|уничтожение|,demq'lISqn
denial|отрицание, опровержение|dI'naIql
department (Dept.)|отдел, департамент|
departure|отъезд, уход|dI'pQ:tSq
dependence|зависимость|dI'pendqns
dependent|зависимый, зависящий|dI'pendqnt
depict|рисовать, изображать|dI'pIkt
deplore|сожалеть|dI'plO:
deploy|развертывать|dI'plOI
deployment|развертывание|dI'plOImqnt
deport|высылать, депортировать|dI'pO:t
deportation|высылка, депортация|,di:pO:'teISqn
deposit|вклад, взнос|dI'pOzIt
depot|склад, депо|'depqu
depreciation|обесценивание, пренебрежение|dI,pri:SI'eISqn
depress|подавлять, уничтожать|dI'pres
depression|депрессия|dI'preSqn
deprive|лишать, отбирать|dI'praIv
depth|глубина|depT
deputation|делегация, депутация|,depju(:)'teISqn
derive|производить|dI'raIv
description|описание, вид, род|dIs'krIpSqn
desert|пустыня|dI'zq:t
deserve|заслуживать|dI'zq:v
designate|чертить, проектировать|'dezIgneIt
designed|предназначенный, намеренный|dI'zaInd
designer|проектировщик, дизайнер|dI'zaInq
desire|желать, желание, мечта|dI'zaIq
despair|отчаяние|dIs'pFq
desperate|отчаянный, безнадежный|'despqrIt
desperately|отчаянно, безнадежно|
destination|место назначения|,destI'neISqn
destiny|судьба, участь|'destInI
destruction|разрушение, уничтожение|dIs'trAkSqn
detain|задерживать, удерживать|dI'teIn
detect|открывать, обнаруживать|dI'tekt
detection|открытие, обнаружение|dI'tekSqn
detective|детектив|dI'tektIv
detente|разрядка|de'tQ:Nt
detention|задержание|dI'tenSqn
determined|решительный|dI'tq:mInd
deterrent|сдерживающий|dI'terqnt
detrimental|приносящий ущерб|,detrI'mentl
devastate|опустошать|'devqsteIt
devil|дьявол|'devl
devise|разрабатывать|dI'vaIz
devolution|передача|,di:vq'lu:Sqn
diameter|диаметр|daI'xmItq
dictatorship|диктатура|dIk'teItqSIp
diesel|дизель|'di:zql
differ|отличаться|'dIfq
differential|отличительный, разница в оплате труда|,dIfq'renSql
dig|копать|dIg
dignity|достоинство|'dIgnItI
dimension|измерение|dI'menSqn
diminish|уменьшать|dI'mInIS
diminutive|маленький|dI'mInjutIv
dine|обедать|daIn
dip|погружать|dIp
diplomat|дипломат|'dIplqmxt
diplomatically|дипломатически|
dirty|грязный|'dq:tI
disable|делать непригодным|dIs'eIbl
disadvantage|недостаток|,dIsqd'vQ:ntIdZ
disagree|не согласовываться|,dIsq'gri:
disagreement|расхождение|,dIsq'gri:mqnt
disappoint|разочаровывать|,dIsq'pOInt
disapproval|неодобрение|,dIsq'pru:vql
disastrous|бедственный|dI'zQ:strqs
discard|отбрасывать|'dIskQ:d
discharge|разряжать|dIs'tSQ:dZ
disciplinary|дисциплинарный|'dIsIplInqrI
disciplined|дисциплинированный|
disclosure|раскрытие|dIs'klquZq
discount|скидка, дисконтировать|'dIskaunt
discourage|обескураживать|dIs'kArIdZ
discovery|открытие|dIs'kAvqrI
discredit|дискредитировать|dIs'kredIt
disease|болезнь|dI'zi:z
disgraceful|позорный|dIs'greIsful
disillusion|разочаровывать|,dIsI'lu:Zqn
disillusionment|разочарование|
dislike|испытывать неприязнь|dIs'laIk
dispatch|отправлять|dIs'pxtS
dispel|рассеивать|dIs'pel
disperse|рассеиваться|dIs'pq:s
display|демонстрация, показывать|dIs'pleI
dispose|располагать|dIs'pquz
disquiet|беспокоить|dIs'kwaIqt
disrupt|подрывать|dIs'rApt
dissatisfaction|неудовлетворительность|'dIs'sxtIs'fxkSqn
dissent|разногласие|dI'sent
